1024 1024
(x=407, y=981); kind: conductor;
(x=447, y=585); kind: producer;
(x=355, y=475); kind: conductor;
(x=2, y=475); kind: conductor;
(x=22, y=475); kind: conductor;
(x=407, y=669); kind: conductor;
(x=130, y=475); kind: conductor;
(x=407, y=977); kind: conductor;
(x=95, y=475); kind: conductor;
(x=263, y=475); kind: conductor;
(x=407, y=871); kind: conductor;
(x=18, y=475); kind: conductor;
(x=407, y=779); kind: conductor;
(x=407, y=1005); kind: conductor;
(x=297, y=475); kind: conductor;
(x=5, y=475); kind: conductor;
(x=407, y=677); kind: conductor;
(x=407, y=771); kind: conductor;
(x=159, y=475); kind: conductor;
(x=41, y=475); kind: conductor;
(x=407, y=849); kind: conductor;
(x=407, y=637); kind: conductor;
(x=407, y=969); kind: conductor;
(x=20, y=475); kind: conductor;
(x=407, y=957); kind: conductor;
(x=243, y=475); kind: conductor;
(x=407, y=887); kind: conductor;
(x=407, y=640); kind: conductor;
(x=407, y=944); kind: conductor;
(x=407, y=979); kind: conductor;
(x=87, y=200); kind: producer;
(x=289, y=475); kind: conductor;
(x=407, y=638); kind: conductor;
(x=274, y=475); kind: conductor;
(x=173, y=475); kind: conductor;
(x=407, y=870); kind: conductor;
(x=137, y=475); kind: conductor;
(x=407, y=676); kind: conductor;
(x=407, y=894); kind: conductor;
(x=82, y=475); kind: conductor;
(x=822, y=626); kind: producer;
(x=64, y=475); kind: conductor;
(x=407, y=1010); kind: conductor;
(x=407, y=660); kind: conductor;
(x=407, y=774); kind: conductor;
(x=407, y=934); kind: conductor;
(x=407, y=1020); kind: conductor;
(x=407, y=725); kind: conductor;
(x=367, y=475); kind: conductor;
(x=407, y=740); kind: conductor;
(x=407, y=945); kind: conductor;
(x=30, y=475); kind: conductor;
(x=223, y=475); kind: conductor;
(x=122, y=475); kind: conductor;
(x=407, y=1019); kind: conductor;
(x=118, y=747); kind: producer;
(x=193, y=475); kind: conductor;
(x=407, y=798); kind: conductor;
(x=407, y=892); kind: conductor;
(x=407, y=901); kind: conductor;
(x=407, y=672); kind: conductor;
(x=341, y=475); kind: conductor;
(x=67, y=475); kind: conductor;
(x=407, y=699); kind: conductor;
(x=328, y=475); kind: conductor;
(x=407, y=749); kind: conductor;
(x=407, y=756); kind: conductor;
(x=407, y=763); kind: conductor;
(x=407, y=632); kind: conductor;
(x=407, y=777); kind: conductor;
(x=407, y=639); kind: conductor;
(x=407, y=770); kind: conductor;
(x=218, y=475); kind: conductor;
(x=296, y=475); kind: conductor;
(x=233, y=475); kind: conductor;
(x=407, y=801); kind: conductor;
(x=407, y=923); kind: conductor;
(x=118, y=475); kind: conductor;
(x=11, y=475); kind: conductor;
(x=92, y=475); kind: conductor;
(x=407, y=818); kind: conductor;
(x=66, y=475); kind: conductor;
(x=407, y=678); kind: conductor;
(x=300, y=475); kind: conductor;
(x=407, y=753); kind: conductor;
(x=407, y=929); kind: conductor;
(x=407, y=722); kind: conductor;
(x=407, y=621); kind: conductor;
(x=407, y=643); kind: conductor;
(x=407, y=873); kind: conductor;
(x=538, y=346); kind: producer;
(x=279, y=475); kind: conductor;
(x=181, y=475); kind: conductor;
(x=407, y=809); kind: conductor;
(x=407, y=880); kind: conductor;
(x=407, y=942); kind: conductor;
(x=208, y=475); kind: conductor;
(x=308, y=475); kind: conductor;
(x=407, y=783); kind: conductor;
(x=180, y=475); kind: conductor;
(x=407, y=983); kind: conductor;
(x=266, y=475); kind: conductor;
(x=53, y=475); kind: conductor;
(x=407, y=1018); kind: conductor;
(x=164, y=475); kind: conductor;
(x=280, y=475); kind: conductor;
(x=407, y=813); kind: conductor;
(x=326, y=475); kind: conductor;
(x=171, y=475); kind: conductor;
(x=120, y=475); kind: conductor;
(x=187, y=740); kind: producer;
(x=303, y=475); kind: conductor;
(x=407, y=734); kind: conductor;
(x=135, y=475); kind: conductor;
(x=407, y=895); kind: conductor;
(x=407, y=707); kind: conductor;
